Muslo,Rodilla,PosX,PosY,Largo_Extremidades(m)
1.14621,-0.939318,0.22332503999391684,0.2781241328136292,0.2
1.44383,-2.88511,6.508651379505726e-05,0.05115630487365052,0.2
1.43345,-2.19607,0.05995196705480374,0.17198885922501375,0.2
0.947730,-0.126600,0.3088019239186091,0.25298444044016205,0.2
1.53914,-1.34012,0.2394414456337759,0.2023823136426688,0.2
0.388600,-0.285023,0.09645706180918735,0.38401620945650905,0.2
0.921591,-1.54230,0.042991258152672365,0.28360454843064115,0.2
0.428085,-0.729334,0.023682988920325162,0.3729457854589615,0.2
1.07764,-1.89997,0.02962313771842716,0.2307851806212581,0.2
1.26859,-2.05419,0.04948629820127304,0.20091743569245504,0.2
0.448613,-0.739472,0.02938821120665746,0.37180948044838613,0.2
0.903277,-1.14268,0.10964652549469553,0.318103690173026,0.2
0.795392,-0.964507,0.10916560595428364,0.33714782253684383,0.2
1.05517,-1.61359,0.06802683455180907,0.2682342406897343,0.2
1.42716,-1.27426,0.22840090226481258,0.22629585876690572,0.2
1.34432,-0.182569,0.3783923633788686,0.12445745673467014,0.2
0.923249,-0.601307,0.2227951538666148,0.31037089484959696,0.2
1.01183,-1.42330,0.08956820624638838,0.28936887132117084,0.2
1.00047,-1.30025,0.10928181024119198,0.2990618328545089,0.2
1.12707,-2.02889,0.023739883775136878,0.20989768862291108,0.2
0.552629,-0.856597,0.04512362803082719,0.3610607557532664,0.2
0.905210,-0.719792,0.1941826837350657,0.3200758368483867,0.2
1.26270,-0.362215,0.3473088168584208,0.18489378716197377,0.2
1.50042,-1.09272,0.27880502541575214,0.19767028133813086,0.2
0.836645,-0.123532,0.2793183636573723,0.28525712113468193,0.2
0.387069,-0.398530,0.07320305544652568,0.3851907540283028,0.2
0.843216,-1.41334,0.04140996215394978,0.3013798742695443,0.2
1.51719,-2.02272,0.10285847057505472,0.18570012817340542,0.2
1.54068,-2.16074,0.0836909466459347,0.16879096589946208,0.2
1.15619,-2.04468,0.027830956329462506,0.2066820142135803,0.2
1.54070,-1.23376,0.2603395272240662,0.1966698504148217,0.2
1.22208,-0.651716,0.2959504003003002,0.23667891005404068,0.2
1.28444,-2.27073,0.025059406257015335,0.16684883784478857,0.2
1.44300,-0.752757,0.3257135949956849,0.17970871550906412,0.2
0.917444,-0.391743,0.2591739537019614,0.29456486046655134,0.2
1.50716,-1.15664,0.26827219711629363,0.20055767603945848,0.2
1.42984,-2.47886,0.0246295555908281,0.12778225271067048,0.2
1.30135,-1.10483,0.23183586020695174,0.24938920745438042,0.2
1.55293,-0.773183,0.3405879234988317,0.14579146319094716,0.2
0.713612,-1.41918,0.0012197583564029645,0.303448622224093,0.2
0.797990,-1.39600,0.030590185073458776,0.30492043249623035,0.2
1.42155,-1.94581,0.09766258593646829,0.20287762285446279,0.2
1.12000,-1.71716,0.06756069093595286,0.25252314936287035,0.2
0.904553,-0.876684,0.16280301713800693,0.3235297103668752,0.2
0.956865,-0.365636,0.27495416324958566,0.28126843807964647,0.2
1.42356,-2.39437,0.032767602017371146,0.14226782015147624,0.2
1.32359,-2.03388,0.06350829196854277,0.20057408397022117,0.2
1.39536,-0.384207,0.3664192743337083,0.14108360731447672,0.2
1.19374,-1.64928,0.09796023003006475,0.2532423883478662,0.2
0.196451,-0.197071,0.03891393931494904,0.3961530510095391,0.2
1.20948,-1.26600,0.17578949981806338,0.2703815542117579,0.2
1.04639,-1.56990,0.07313936721145733,0.273353396157095,0.2
0.564445,-0.608550,0.09817107115396011,0.36878268054935265,0.2
0.895593,-0.496541,0.2338249123465125,0.30929719543031753,0.2
1.21139,-2.06455,0.03654733535861058,0.201864626269303,0.2
1.48809,-1.84570,0.12930874829298686,0.20386934304887153,0.2
1.23221,-2.19059,0.024993413507602886,0.1813997423023295,0.2
0.911554,-1.41097,0.06230947188217013,0.29807644418018253,0.2
1.32595,-2.39329,0.018850083183754338,0.1449721635689625,0.2
0.773577,-1.01936,0.0910764781836291,0.3370726141524296,0.2
0.360422,-0.381769,0.06626485797571685,0.3871040148327852,0.2
1.33777,-2.44614,0.01559988919329485,0.13540795021445742,0.2
0.744219,-0.582916,0.16760029954158617,0.3445272262003872,0.2
0.531742,-0.874725,0.0341474706411121,0.3607361334257907,0.2
1.55762,-0.345116,0.3872818054953823,0.07277163083195282,0.2
