X,Y
2.9175062,-1.7042845
2.9149272,-1.7208942
2.9122162,-1.7375118
2.9092188,-1.754014
2.9008238,-1.7664541
2.8916776,-1.7782671
2.882391,-1.7900608
2.8729663,-1.8018314
2.8634062,-1.8135767
2.8537123,-1.8252933
2.844057,-1.8368582
2.8358116,-1.8472995
2.8274615,-1.8576876
2.8190093,-1.8680209
2.8104568,-1.8782963
2.8018064,-1.8885111
2.7923188,-1.8981048
2.776435,-1.9028901
2.7604227,-1.9075792
2.7442842,-1.9121704
2.728025,-1.916663
2.7116482,-1.921056
2.6951585,-1.925348
2.6785593,-1.9295379
2.6618557,-1.9336246
2.6450508,-1.9376079
2.628149,-1.9414856
2.6111555,-1.9452578
2.5940733,-1.9489226
2.576907,-1.9524797
2.5590446,-1.9551271
2.5395901,-1.9556924
2.5200672,-1.9561515
2.500956,-1.9551507
2.4818788,-1.9520808
2.46201,-1.9481905
2.4432678,-1.9445071
2.4246485,-1.940754
2.4060073,-1.9368907
2.3873487,-1.9329189
2.3686786,-1.9288388
2.35,-1.924652
2.331318,-1.920359
2.3155084,-1.9142803
2.2982845,-1.9076577
2.2810755,-1.9009405
2.2633991,-1.8942524
2.2429926,-1.8881685
2.2222452,-1.8816932
2.1998534,-1.8723328
2.1748679,-1.8602549
2.1512616,-1.8485929
2.1343634,-1.8384876
2.1154358,-1.8271915
2.0959382,-1.815547
2.0765266,-1.8038594
2.0572062,-1.7921313
2.0379815,-1.7803655
2.015984,-1.7676761
1.9924575,-1.7520994
1.9693977,-1.7379729
1.9505746,-1.7255243
1.93252,-1.7133135
1.9186077,-1.700848
1.902363,-1.6856732
1.8848976,-1.6693833
1.8671845,-1.6518794
1.8519491,-1.6355486
1.8346306,-1.6179825
1.8152832,-1.5987833
1.7955494,-1.5788649
1.7779444,-1.5593143
1.7628797,-1.5404255
1.7479599,-1.5216182
1.7326807,-1.5028661
1.7155732,-1.4840845
1.6986765,-1.4654016
1.6819942,-1.446822
1.6655307,-1.4283503
1.6492902,-1.4099911
1.6332765,-1.3917488
1.6174935,-1.3736284
1.6019454,-1.3556336
1.5866357,-1.3377696
1.5735995,-1.3198478
1.5609196,-1.3020551
1.5484351,-1.2844112
1.5343357,-1.2637509
1.5190512,-1.2408245
1.5040128,-1.2181318
1.4892248,-1.195679
1.4744804,-1.1734588
1.4590751,-1.1513305
1.4433007,-1.1292257
1.4278296,-1.107386
1.4126661,-1.0858169
1.3978132,-1.0645236
1.3832752,-1.043511
1.3690554,-1.0227852
1.3551576,-1.0023507
1.3414458,-0.981629
1.3267026,-0.95809996
1.3123131,-0.9349276
1.2982805,-0.9121175
1.2846082,-0.8896756
1.2713002,-0.86760724
1.2583591,-0.84591794
1.2457885,-0.824613
1.2335914,-0.8036978
1.2217709,-0.78317755
1.2103297,-0.76305723
1.1992708,-0.7433418
1.1885971,-0.72403634
1.1781865,-0.704743
1.1653129,-0.6766267
1.1528969,-0.6491436
1.1399025,-0.62034184
1.1266063,-0.59074473
1.1138238,-0.56188935
1.1015575,-0.5337829
1.0898104,-0.5064323
1.0785857,-0.4798445
1.0638338,-0.44823843
1.0462492,-0.41261005
1.0294523,-0.37813056
1.0134479,-0.34480983
0.998239,-0.3126552
0.9838298,-0.28167558
0.9702239,-0.25187773
0.95742434,-0.22326894
0.94543487,-0.19585742
0.9342581,-0.16964895
0.9342581,-0.16964895
0.96714497,-0.21843882
1.0000318,-0.26722878
1.0309929,-0.31500697
1.0618137,-0.3627115
1.0926346,-0.410416
1.1211804,-0.45487177
1.1415439,-0.48764187
1.1619073,-0.5204123
1.1822709,-0.5531826
1.2026342,-0.5859529
1.2218255,-0.6165127
1.2399693,-0.6450967
1.2581128,-0.6736808
1.2762563,-0.70226467
1.2944001,-0.7308488
1.3122361,-0.75161797
1.3291217,-0.7704677
1.3441771,-0.7890068
1.3592325,-0.80754596
1.3742877,-0.8260849
1.3893431,-0.84462416
1.4043983,-0.8631631
1.4183179,-0.88015044
1.4321767,-0.89705414
1.4460354,-0.91395795
1.4598938,-0.9308617
1.4737526,-0.94776547
1.4876114,-0.96466917
1.5014699,-0.9815731
1.5153285,-0.99847674
1.5300608,-1.0156488
1.5463539,-1.0333004
1.5626473,-1.0509521
1.5781678,-1.0669638
1.5933475,-1.0824081
1.6085275,-1.0978521
1.6237663,-1.1122779
1.6362402,-1.1221626
1.6487142,-1.1320473
1.6611886,-1.141932
1.6736624,-1.1518167
1.6861366,-1.1617013
1.6974819,-1.17063
1.7114041,-1.1791347
1.7247219,-1.1877593
1.7353166,-1.1967272
1.7459112,-1.205695
1.7565058,-1.214663
1.7671006,-1.2236308
1.7776951,-1.2325987
1.7882897,-1.2415667
1.8011538,-1.2503529
1.8141702,-1.2591269
1.8271867,-1.2679011
1.8402032,-1.2766752
1.8519439,-1.2845514
1.8628032,-1.2918072
1.8736624,-1.2990632
1.8845218,-1.3063191
1.8951927,-1.3134693
1.9025759,-1.3187728
1.9104744,-1.3243653
1.9203706,-1.3308685
1.9330308,-1.337141
1.9474933,-1.3435327
1.9619554,-1.3499241
1.9764174,-1.3563157
1.9906524,-1.3627926
2.0049348,-1.3698783
2.0196903,-1.3773158
2.0311863,-1.3847044
2.0424228,-1.3918332
2.0507355,-1.3960305
2.0590477,-1.4002279
2.067243,-1.404443
2.0739775,-1.408877
2.0807114,-1.4133114
2.0874455,-1.4177455
2.0956974,-1.4227432
2.105736,-1.4282612
2.1155543,-1.4333988
2.1287487,-1.4364808
2.1419435,-1.4395624
2.1551378,-1.4426442
2.168332,-1.445726
2.181527,-1.4488078
2.1947217,-1.4518896
2.2071023,-1.4551147
2.2161217,-1.4557011
2.225141,-1.4562877
2.2341604,-1.4568743
2.2431798,-1.4574609
2.2521992,-1.4580475
2.2612188,-1.458634
2.2702382,-1.4592206
2.2790518,-1.4597347
2.2875288,-1.4601299
2.2960062,-1.4605254
2.304758,-1.4612458
