Muslo,Rodilla
2.58596,-0.974538
1.99645,-0.694303
2.22929,-0.889211
2.16562,-0.744250
1.03215,-0.637884
1.83002,-0.999198
0.149316,-0.204018
2.47906,-0.891597
1.38303,-0.896576
0.550050,-0.525086
2.49772,-0.734123
1.18787,-0.981818
1.57179,-0.854605
2.19572,-0.734722
0.630998,-0.685616
0.812247,-0.434273
1.42747,-0.422503
0.676741,-0.238879
1.90950,-0.858420
2.29744,-0.535210
1.48806,-0.973262
1.42939,-0.960990
1.61365,-0.325014
0.783203,-0.300685
2.01786,-0.501276
0.634089,-0.858752
0.428092,-0.833835
2.26023,-0.267628
2.27630,-0.477427
1.22370,-0.746746
0.852874,-0.799657
2.00568,-0.514278
1.66875,-0.690778
0.618552,-0.966253
1.69519,-0.836502
0.797172,-0.643514
0.724486,-0.980483
1.34586,-0.785975
2.48352,-0.956329
1.26205,-0.334576
1.45568,-0.895951
0.825184,-0.917851
1.69259,-0.758425
0.815398,-0.772710
1.22385,-0.926658
1.94196,-0.724807
2.37161,-0.661060
0.934941,-0.885474
2.18857,-0.814595
2.02652,-0.177064
1.80804,-0.376309
1.32185,-0.591260
0.245175,-0.346585
1.40177,-0.918024
0.666175,-0.973542
1.12395,-0.320057
1.52034,-0.672788
1.90902,-0.571938
0.877489,-0.612106
1.68614,-0.530119
2.26991,-0.738805
0.429821,-0.594000
1.59448,-0.332607
0.824073,-0.848584
1.68519,-0.0541446
0.575678,-0.302020
0.908578,-0.859930
2.22518,-0.351285
0.990033,-0.505567
0.684667,-0.705182
1.19297,-0.501868
0.662322,-0.363976
0.827208,-0.644807
2.33457,-0.695334
0.904552,-0.796779
0.546420,-0.941988
1.93795,-0.766436
0.819161,-0.684556
1.23377,-0.384179
1.62974,-0.932881
0.565488,-0.894706
2.31165,-0.496628
2.13530,-0.324646
0.450071,-0.872461
1.64741,-0.684339
0.876532,-0.478529
1.24000,-0.309960
0.685706,-0.768083
1.60577,-0.864434
1.75429,-0.608935
2.53537,-0.341444
1.12234,-0.530708
2.02924,-0.741767
1.46191,-0.338159
2.30096,-0.721312
0.588580,-0.413077
0.644869,-0.856746
2.26203,-0.500574
0.580382,-0.878372
1.64601,-0.970865
0.939377,-0.526179
0.752462,-0.797733
1.79207,-0.0806790
1.20258,-0.638782
0.820711,-0.587286
1.07981,-0.739858
1.76542,-0.535605
0.670629,-0.418607
1.65912,-0.155648
1.10503,-0.992742
1.66930,-0.895511
0.291899,-0.378519
0.713057,-0.738710
1.45329,-0.835809
1.97728,-0.157598
1.34344,-0.628780
1.17018,-0.545343
1.85137,-0.234052
2.17210,-0.319941
0.361989,-0.313145
1.81801,-0.642945
1.24397,-0.886488
0.832743,-0.682713
1.36569,-0.648102
0.635215,-0.777593
1.99083,-0.152110
1.52801,-0.801551
2.15114,-0.524586
1.70820,-0.474606
2.01743,-0.710712
2.40876,-0.779977
2.22971,-0.484628
0.495708,-0.391953
2.03911,-0.227652
2.03574,-0.218354
1.33628,-0.379571
2.02657,-0.757799
1.93617,-0.252972
1.44509,-0.590620
1.18721,-0.886744
2.02764,-0.694930
0.260974,-0.290474
0.561911,-0.749402
1.78141,-0.416816
0.441526,-0.635232
1.30022,-0.325294
0.385419,-0.148281
1.54558,-0.517427
0.856725,-0.685184
1.80630,-0.648256
1.69093,-0.879114
0.560274,-0.201654
2.31419,-0.914526
1.92972,-0.939695
0.822076,-0.988600
1.79979,-0.411492
0.571768,-0.725779
1.42698,-0.391176
0.384668,-0.476620
1.58481,-0.974055
1.51311,-0.303871
0.660239,-0.907775
1.30558,-0.582795
1.15576,-0.834704
0.987573,-0.927346
2.43262,-0.969823
1.25693,-0.456331
1.91158,-0.706967
0.656638,-0.358883
2.63741,-0.995941
0.647107,-0.532203
1.98249,-0.825346
0.713459,-0.605373
1.00123,-0.521377
2.21119,-0.806777
0.883819,-0.384032
1.09725,-0.695624
1.46030,-0.961729
0.830528,-0.710464
2.30911,-0.793323
1.90769,-0.534564
0.600673,-0.976753
0.619214,-0.804875
0.459776,-0.304704
1.35893,-0.470327
0.790697,-0.340913
1.76633,-0.503150
1.51888,-0.760357
1.13068,-0.129362
1.00722,-0.596178
2.10445,-0.736024
2.59100,-0.862217
0.919657,-0.944065
0.562127,-0.929127
0.280406,-0.541936
1.42679,-0.914667
1.65491,-0.624614
0.618063,-0.495963
1.53807,-0.314578
1.54503,-0.929336
0.604186,-0.581081
0.575089,-0.765739
1.68522,-0.470088
0.886176,-0.570826
2.29979,-0.542240
1.26406,-0.444501
0.990693,-0.941418
1.71020,-0.899454
0.814866,-0.759390
1.27744,-0.565883
2.06934,-0.958772
0.814125,-0.248841
0.633466,-0.923708
1.63957,-0.982912
1.09946,-0.751290
2.29504,-0.919202
1.39529,-0.673375
0.654280,-0.484102
2.55625,-0.834104
0.879350,-0.777296
0.726573,-0.483407
2.30291,-0.747747
1.09528,-0.365902
0.839398,-0.769651
1.70715,-0.903868
1.02320,-0.647221
1.41572,-0.987330
1.63851,-0.774899
2.07161,-0.454105
2.28523,-0.468230
2.16281,-0.642755
1.86134,-0.834270
1.22383,-0.762150
1.14194,-0.948666
1.18432,-0.221717
1.06623,-0.467135
0.763587,-0.237643
1.50662,-0.736591
2.06867,-0.661718
1.35845,-0.836318
0.719828,-0.882638
1.35049,-0.360220
2.14588,-0.572606
0.440005,-0.481890
2.12652,-0.870347
1.21554,-0.0765744
0.577537,-0.875010
1.34880,-0.951875
0.440238,-0.607699
0.839390,-0.674107
1.62579,-0.698012
2.13943,-0.546172
2.17378,-0.638192
1.05049,-0.415280
2.28975,-0.958192
1.42124,-0.914430
2.37609,-0.678509
2.45266,-0.623778
2.04632,-0.337780
1.79655,-0.614545
1.94821,-0.788182
1.91820,-0.749203
0.649964,-0.958228
1.67770,-0.783358
1.26264,-0.419651
1.14807,-0.434642
2.00244,-0.497358
2.30119,-0.678101
2.38327,-0.757197
0.952973,-0.232428
1.42312,-0.288019
0.812569,-0.924836
0.970516,-0.711750
1.08998,-0.736656
0.805359,-0.531150
1.22702,-0.766894
2.15435,-0.651027
1.73824,-0.597331
2.10966,-0.782216
2.08279,-0.605121
0.440025,-0.692862
2.27904,-0.806616
1.89759,-0.755526
1.29820,-0.687756
1.09633,-0.881870
2.22792,-0.671484
1.13705,-0.142296
1.02058,-0.372538
2.12050,-0.732747
0.392219,-0.753324
1.55189,-0.586726
0.639751,-0.227895
0.757585,-0.385410
1.41936,-0.916216
1.94856,-0.375760
2.31690,-0.945328
1.82499,-0.274036
1.79885,-0.545742
1.31626,-0.142890
0.898080,-0.282672
1.35843,-0.703165
2.35274,-0.639890
2.07555,-0.970812
0.783478,-0.736236
1.90626,-0.651153
2.51362,-0.968614
1.95291,-0.656419
2.15039,-0.963843
1.42315,-0.677440
1.11031,-0.622725
1.73778,-0.739916
0.583942,-0.969279
1.52807,-0.975727
1.50754,-0.575952
0.845024,-0.480933
1.61647,-0.990077
1.16194,-0.591785
1.69076,-0.611851
1.76089,-0.312551
0.782700,-0.950474
0.639472,-0.547636
1.31090,-0.785815
1.50578,-0.733855
0.945995,-0.00866629
1.45614,-0.498052
1.97763,-0.315320
2.30229,-0.779789
1.90182,-0.434529
0.686078,-0.882806
0.454227,-0.835146
1.85417,-0.695406
1.00858,-0.998927
1.26992,-0.925579
1.54235,-0.895303
2.36860,-0.725014
2.49534,-0.886032
1.16847,-0.669398
2.03386,-0.540642
0.307388,-0.298101
1.66742,-0.676037
1.74136,-0.835509
1.82677,-0.776639
0.662491,-0.848495
1.54033,-0.592073
1.91309,-0.849446
1.27630,-0.897317
2.13724,-0.831851
0.462736,-0.223877
0.912714,-0.0553963
1.49557,-0.908403
0.754353,-0.537086
1.33685,-0.813490
0.874068,-0.930071
1.30222,-0.905223
2.29447,-0.328522
2.36745,-0.677011
1.18002,-0.296528
1.60571,-0.415306
0.569848,-0.531687
0.808323,-0.754933
2.17113,-0.236692
2.18962,-0.494193
0.369778,-0.425264
2.54822,-0.823913
1.53616,-0.840294
2.06126,-0.985219
1.36357,-0.772772
2.10043,-0.649417
2.27254,-0.796964
1.00108,-0.221578
1.95842,-0.575946
1.55193,-0.783908
1.31003,-0.686976
2.17962,-0.248993
0.830397,-0.890056
1.00491,-0.971283
0.733092,-0.764188
1.21528,-0.769088
2.10198,-0.741755
1.52201,-0.606270
0.744765,-0.130896
0.766348,-0.681783
1.06518,-0.893207
1.76911,-0.967105
0.500520,-0.395955
0.630246,-0.350549
1.33752,-0.920772
2.42833,-0.700363
0.581683,-0.395598
1.31481,-0.687720
1.13344,-0.981822
1.50612,-0.844511
1.03756,-0.0903811
1.48609,-0.726022
1.35006,-0.651471
1.35674,-0.832369
1.67431,-0.483665
1.16871,-0.997321
0.299309,-0.352756
2.30538,-0.900072
1.91704,-0.915717
0.807463,-0.642876
0.813398,-0.322801
1.84177,-0.769418
1.12253,-0.335273
1.90052,-0.965900
1.60137,-0.944472
0.713515,-0.186848
2.18445,-0.868522
1.16637,-0.961551
1.82767,-0.535684
1.03547,-0.269570
2.38411,-0.678307
1.09388,-0.602991
1.93536,-0.741086
2.07449,-0.723585
2.22363,-0.576299
1.47593,-0.911334
0.762489,-0.183285
1.61873,-0.780002
1.94898,-0.656532
0.679754,-0.873047
1.93155,-0.275501
0.722807,-0.320302
0.772368,-0.836025
1.48994,-0.512766
2.32723,-0.755942
1.16592,-0.355898
1.43415,-0.938148
1.17289,-0.802084
1.57797,-0.768681
0.499711,-0.987831
1.63570,-0.919472
1.06574,-0.230761
0.974725,-0.885810
1.24996,-0.406688
1.03031,-0.906236
0.980417,-0.950250
1.07297,-0.881784
1.35221,-0.734601
1.80393,-0.937916
1.49162,-0.998233
1.48034,-0.723081
1.63255,-0.865432
0.333295,-0.610824
1.06774,-0.643745
0.879268,-0.773222
1.82696,-0.730583
2.03759,-0.841199
2.40245,-0.891798
0.396292,-0.731297
2.11559,-0.598293
1.85640,-0.676124
2.17505,-0.879673
2.30844,-0.611061
0.884436,-0.948151
0.542749,-0.573078
0.317689,-0.506979
2.31133,-0.752372
1.30693,-0.511259
0.227565,-0.324124
2.42900,-0.830731
1.64765,-0.194483
2.30207,-0.799940
1.34062,-0.830776
1.23195,-0.469487
1.59848,-0.759841
0.562066,-0.415856
1.50930,-0.601604
1.51852,-0.261384
1.59556,-0.123331
2.15952,-0.862712
1.41391,-0.979733
0.636606,-0.903694
1.56362,-0.264054
1.78763,-0.615674
0.999877,-0.685342
2.03206,-0.756195
0.670162,-0.847149
2.61943,-0.952852
1.46109,-0.338079
0.603611,-0.521122
1.26883,-0.632133
2.22989,-0.527572
1.36865,-0.853142
0.533078,-0.323505
1.09546,-0.670577
1.50133,-0.386208
1.37133,-0.679276
1.46596,-0.567817
1.42105,-0.936745
1.58635,-0.832775
2.08119,-0.253790
1.84730,-0.852923
1.02664,-0.592937
1.27312,-0.403714
2.20529,-0.833257
1.72484,-0.629851
2.03942,-0.480975
0.823728,-0.848906
2.43803,-0.890257
1.73987,-0.734894
1.16278,-0.994171
1.56891,-0.354823
0.814104,-0.459217
2.51499,-0.933699
1.08532,-0.988292
0.915690,-0.925877
1.13491,-0.0274189
0.600565,-0.946882
2.42889,-0.927646
0.594530,-0.858405
1.16061,-0.945813
2.07548,-0.759317
1.99902,-0.994070
1.94907,-0.923287
1.10047,-0.861946
1.45092,-0.958011
1.48572,-0.470785
0.604176,-0.496462
2.20183,-0.428878
0.835353,-0.792907
